Name,SMILES,Planarity,RDKit Planarity,RDKit MMFFOptimize Planarity,HOMO-LUMO Energy Gap /eV,Linker Type,Functional Group
g_18_v2_double,COC1=CC2=C(C=C1OC)NC(/C=C/C3=NC=CC4=NSN=C34)=C2,0.9999998757030892,0.9999999988047344,0.9999999999211415,2.332559926486,double,None
g_18_v2_triple,COC1=CC2=C(C=C1OC)NC(/C#C/C3=NC=CC4=NSN=C34)=C2,1.0,1.0,1.0,2.6250823157735,triple,None
g_18_v2_imine,COC1=CC2=C(C=C1OC)NC(/C=N/C3=NC=CC4=NSN=C34)=C2,0.9999977029228232,0.8537483839434418,0.9999999999041791,2.6212727218665,imine,None
g_18_v2_thio,COC1=CC2=C(C=C1OC)NC(C3=CC=C(C4=NC=CC5=NSN=C45)S3)=C2,0.9880628970318222,0.9999999994177804,0.9699937098164528,2.1282024247605,thio,None
g_18_v4_double,COC1=CC2=C(C=C1OC)NC(/C=C/C3=CN=CC4=NSN=C34)=C2,0.999847978529726,0.9999999995819157,0.950822004026503,2.2076596691065,double,None
g_18_v4_triple,COC1=CC2=C(C=C1OC)NC(/C#C/C3=CN=CC4=NSN=C34)=C2,1.0,1.0,1.0,2.472426445643,triple,None
g_18_v4_imine,COC1=CC2=C(C=C1OC)NC(/C=N/C3=CN=CC4=NSN=C34)=C2,0.9999993563429274,0.8516021378790506,0.7786164648964171,2.509433929311,imine,None
g_18_v4_thio,COC1=CC2=C(C=C1OC)NC(C3=CC=C(C4=CN=CC5=NSN=C45)S3)=C2,0.9747478501130026,0.9999999984340591,0.8912962624969103,2.0661604668465,thio,None
e_9_v1_double,COC1=CC2=C(C=CN2)C(/C=C/C3=CC=CC4=NSN=C34)=C1OC,0.9596884544315902,0.9966811220997975,0.7572115342927466,2.8109360756649995,double,None
e_9_v1_triple,COC1=CC2=C(C=CN2)C(/C#C/C3=CC=CC4=NSN=C34)=C1OC,1.0,1.0,1.0,2.8210042881335,triple,None
e_9_v1_imine,COC1=CC2=C(C=CN2)C(/C=N/C3=CC=CC4=NSN=C34)=C1OC,0.9333754412399784,0.14615962962475834,0.7393118853649578,2.986177395387001,imine,None
e_16_v1_double,COC1=CC2=C(C=CN2)C(/C=C/C3=CC=CC4=NC=CN=C34)=C1OC,0.9608121780479856,0.9968117240414527,0.7216006861098043,3.0762470799025,double,None
e_16_v1_triple,COC1=CC2=C(C=CN2)C(/C#C/C3=CC=CC4=NC=CN=C34)=C1OC,1.0,1.0,1.0,3.106723831158501,triple,None
e_16_v1_imine,COC1=CC2=C(C=CN2)C(/C=N/C3=CC=CC4=NC=CN=C34)=C1OC,0.8464400748675432,0.9999980368323136,0.7577081606147151,3.4087702052135,imine,None
e_17_v1_imine,COC1=CC2=C(C=CN2)C(/C=N/C3=C4N=CC=NC4=CS3)=C1OC,0.9963986700513352,0.8864023465320713,0.8468090875209031,2.7570575332660003,imine,None
e_18_v1_double,COC1=CC2=C(C=CN2)C(/C=C/C3=NC=CC4=NSN=C34)=C1OC,0.9906840015974449,0.9740693100103066,0.8252307299779119,2.648756220767001,double,None
e_18_v1_triple,COC1=CC2=C(C=CN2)C(/C#C/C3=NC=CC4=NSN=C34)=C1OC,1.0,1.0,1.0,2.7195058218970005,triple,None
e_18_v1_imine,COC1=CC2=C(C=CN2)C(/C=N/C3=NC=CC4=NSN=C34)=C1OC,0.947141463067574,0.7261929803544149,0.9551229888072523,2.849576242436,imine,None
e_18_v3_double,COC1=CC2=C(C=CN2)C(/C=C/C3=CN=CC4=NSN=C34)=C1OC,0.9511661630268688,0.974407373360267,0.7721716830185461,2.577462391936,double,None
e_18_v3_triple,COC1=CC2=C(C=CN2)C(/C#C/C3=CN=CC4=NSN=C34)=C1OC,1.0,1.0,1.0,2.576373936534,triple,None
e_18_v3_imine,COC1=CC2=C(C=CN2)C(/C=N/C3=CN=CC4=NSN=C34)=C1OC,0.9682479296558996,0.6160780991334308,0.7490889174515916,2.6571917501325,imine,None
b_v2_single_b_9_A_acetate_A,COC(=O)c1cc(C2:cc3cc(OC)c(OC)cc3n:2C)c2nsnc2c1,0.6717496390797988,0.6639900721208306,0.52071011177311,2.2620824392065,single,Acetate
b_v2_single_b_9_A_acetate_B,COC(=O)c1ccc2nsnc2c1C1:cc2cc(OC)c(OC)cc2n:1C,0.6791206367279167,0.5762426866458394,0.4519851595948045,2.3856221273335003,single,Acetate
