D_A,donor,acceptor,D_A_a_crit,D_A_d_crit,A_D_a_crit,A_D_d_crit,Predicted_eg,Predicted_eg_Melanin_acceptor,HOMO-pi,LUMO-pi,HOMO-mel,LUMO-mel,Type,Melanin_substitution_type,DHI_or_DHICA
b_12,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,C1(C=CC=C2)=C2SCS1,1.1765576804441704,1.1634176434299817,0.8682381105842273,0.8780442889369735,4.410965517,5.9105849467105,-5.604456864898,-0.414701508162,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_13,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,S=C1SC2=CSC=C2S1,1.5388569078947365,1.938630756578948,0.7824986515082363,0.6211360524459566,2.647123538,6.5582159109005,-6.2520878290879995,-2.178543487103,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_14,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,C12=C(C=CC=C2)C=CC=C1,1.2810342398196422,1.3286599971819075,0.8254114145658263,0.7958245798319329,3.862383994,6.217257256224,-5.9111291744115,-0.96328303077,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_15,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,CC1=CSC=N1,1.4347881899871628,1.2104621309370989,0.7357312838918582,0.8720789607147037,4.239533791,6.9750943298665,-6.668966248054,-0.586133233977,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_16,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,C12=C(C=CC=C2)N=CC=N1,1.558146041219808,1.7587428891168515,0.7590967638061503,0.6725165029785865,2.917876819,6.760396501822001,-6.454268420009501,-1.9077902058555003,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_17,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,C12=CSC=C1N=CC=N2,1.595235574377978,1.996717840127052,0.770352518,0.6154568849311711,2.570115318,6.6616191740905,-6.355491092278,-2.2555517067945003,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_18,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,C12=NSN=C1C=NC=C2,2.1325900053734554,2.533449758,0.6910589959692195,0.581714914,2.025615503,7.425986980145,-7.1198588983325,-2.8000515216450004,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_19,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,FC1=CC=C(C=C1)F,1.4340809454221994,1.1982336870195058,0.7340702969911643,0.8785566930053326,4.282799893,6.9908769331955,-6.684748851383,-0.5428671317475,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
g_0,COC(C(OC)=C1)=CC2=C1C=CN2[H],CC1=CSC=C1,1.2871007786931496,1.0676560207651506,0.7880794701986756,0.9500603940189096,4.822401658561001,6.5331814366545,-6.2529041706395,-0.0459872407345,-4.868388899295501,0.280277266015,𝝿-frag,R = H,DHI
g_1,COC(C(OC)=C1)=CC2=C1C=CN2[H],COC1=CSC=C1,1.156407322654462,1.0824370709382152,0.8737474024474718,0.933456477,4.756550106740001,5.8926254325775,-5.6123481665625,-0.1118387925555,-4.868388899295501,0.280277266015,𝝿-frag,R = H,DHI
g_2,COC(C(OC)=C1)=CC2=C1C=CN2[H],CNC1=CSC=C1,0.975499575,1.0055803571428572,1.024972914409534,0.9943120260021668,5.120094211,5.023221680230001,-4.742944414215001,0.2517053117125,-4.868388899295501,0.280277266015,𝝿-frag,R = H,DHI
g_3,COC(C(OC)=C1)=CC2=C1C=CN2[H],CC1=COC=C1,1.2378691719554245,0.9455299585228124,0.798994975,1.0460284616359106,5.445270262355501,6.4439280936905,-6.1636508276755,0.57688136306,-4.868388899295501,0.280277266015,𝝿-frag,R = H,DHI
g_4,COC(C(OC)=C1)=CC2=C1C=CN2[H],COC1=COC=C1,1.1414249363867683,0.9629007633587786,0.8719354838709678,1.0335944700460828,5.347037162325001,5.9048705558500005,-5.624593289835,0.47864826302950003,-4.868388899295501,0.280277266015,𝝿-frag,R = H,DHI
g_5,COC(C(OC)=C1)=CC2=C1C=CN2[H],CNC1=COC=C1,0.9954761792563968,0.8916167946845106,1.0050996015936255,1.1221779548472777,5.774528021460501,5.1225432356625005,-4.8422659696475,0.9061391221650001,-4.868388899295501,0.280277266015,𝝿-frag,R = H,DHI
g_6,COC(C(OC)=C1)=CC2=C1C=CN2[H],C1=CC=CO1,1.2815689104216057,0.9752087413668692,0.7759596456692914,1.0197260498687664,5.279552927401001,6.635224130592,-6.354946864577,0.4111640281055,-4.868388899295501,0.280277266015,𝝿-frag,R = H,DHI
g_7,COC(C(OC)=C1)=CC2=C1C=CN2[H],C1=CC=CS1,1.3373136067101583,1.1021085740913328,0.7656604078989966,0.929062803,4.6716505853840005,6.724477473556,-6.444200207541,-0.1967383139115,-4.868388899295501,0.280277266015,𝝿-frag,R = H,DHI
g_8,COC(C(OC)=C1)=CC2=C1C=CN2[H],C12=CSC=C1OCCO2,1.1852954392271398,1.0627387104021568,0.8515301530153017,0.9497299729972996,4.8447149943020005,6.04636975811,-5.766092492095,-0.0236739049935,-4.868388899295501,0.280277266015,𝝿-frag,R = H,DHI
g_9,COC(C(OC)=C1)=CC2=C1C=CN2[H],C12=NSN=C1C=CC=C2,1.6982261166916006,2.021906390254328,0.7433117265763112,0.6243174229031625,2.5464414129790005,6.9266580644775,-6.6463807984625,-2.3219474863165,-4.868388899295501,0.280277266015,𝝿-frag,R = H,DHI
g_10,COC(C(OC)=C1)=CC2=C1C=CN2[H],O=C1NC=C2C1=CNC2=O,1.2740755586732135,1.896081771720613,0.8737070557813078,0.5870890284447728,2.715424114139501,5.892897546428,-5.612620280413,-2.152964785156,-4.868388899295501,0.280277266015,𝝿-frag,R = H,DHI
g_11,COC(C(OC)=C1)=CC2=C1C=CN2[H],O=C1N(C=C2C1=CN(C2=O)C)C,1.1944282663560473,1.8366336633663365,0.9042726056203404,0.5880806729114892,2.803316887851001,5.693710207862001,-5.413432941847001,-2.0650720114445,-4.868388899295501,0.280277266015,𝝿-frag,R = H,DHI
g_12,COC(C(OC)=C1)=CC2=C1C=CN2[H],C1(C=CC=C2)=C2SCS1,1.1652715830634812,1.1560457017168693,0.8749190788865255,0.881901415,4.453687391133501,5.884734130913,-5.604456864898,-0.414701508162,-4.868388899295501,0.280277266015,𝝿-frag,R = H,DHI
g_13,COC(C(OC)=C1)=CC2=C1C=CN2[H],S=C1SC2=CSC=C2S1,1.514415781487101,1.914112291350531,0.7881779555111224,0.6235941014746313,2.6898454121925006,6.532365095103,-6.2520878290879995,-2.178543487103,-4.868388899295501,0.280277266015,𝝿-frag,R = H,DHI
g_14,COC(C(OC)=C1)=CC2=C1C=CN2[H],C12=C(C=CC=C2)C=CC=C1,1.2670197198801476,1.3184447076858756,0.8315826484419638,0.7991473651826133,3.9051058685255007,6.1914064404265,-5.9111291744115,-0.96328303077,-4.868388899295501,0.280277266015,𝝿-frag,R = H,DHI
g_15,COC(C(OC)=C1)=CC2=C1C=CN2[H],CC1=CSC=N1,1.4204740420664672,1.2023257291732858,0.7408959198057797,0.8753230480068916,4.282255665318501,6.949243514069,-6.668966248054,-0.586133233977,-4.868388899295501,0.280277266015,𝝿-frag,R = H,DHI
g_16,COC(C(OC)=C1)=CC2=C1C=CN2[H],C12=C(C=CC=C2)N=CC=N1,1.5356617647058823,1.7390625,0.7645157380096166,0.6750979837569195,2.9605986934400006,6.734545686024501,-6.454268420009501,-1.9077902058555003,-4.868388899295501,0.280277266015,𝝿-frag,R = H,DHI
g_17,COC(C(OC)=C1)=CC2=C1C=CN2[H],C12=CSC=C1N=CC=N2,1.5691522599458445,1.970526973547177,0.7758960059050276,0.6178545066841631,2.6128371925010003,6.635768358293,-6.355491092278,-2.2555517067945003,-4.868388899295501,0.280277266015,𝝿-frag,R = H,DHI
g_18,COC(C(OC)=C1)=CC2=C1C=CN2[H],C12=NSN=C1C=NC=C2,2.088540981449809,2.489277727,0.6957528957528959,0.5837470123184408,2.0683373776505003,7.4001361643475,-7.1198588983325,-2.8000515216450004,-4.868388899295501,0.280277266015,𝝿-frag,R = H,DHI
g_19,COC(C(OC)=C1)=CC2=C1C=CN2[H],FC1=CC=C(C=C1)F,1.41991696,1.1902994464016106,0.7392170651664324,0.8818174714799186,4.325521768,6.965026117398,-6.684748851383,-0.5428671317475,-4.868388899295501,0.280277266015,𝝿-frag,R = H,DHI
b_6_B_acetate,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,COC(=O)C1:ccoc:1,1.4864387193256747,1.2819658758751955,0.7249279261964251,0.8405535268114549,4.003066855,7.0790418207575,-6.772913738945,-0.8226001700615,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_6_B_amide,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,CNC(=O)C1:ccoc:1,1.3692664752946926,1.151835338667318,0.7572375025095363,0.9001806866091147,4.455320074,6.7769954467025,-6.47086736489,-0.37034695053050004,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_6_B_carbonyl,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,O=CC1:ccoc:1,1.6017364739930866,1.516118659056194,0.715874582,0.7563012450652901,3.3848241863695003,7.168567277572001,-6.862439195759501,-1.4408428383975,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_6_B_F,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,FC1:ccoc:1,1.3458733841564468,1.0418185835819247,0.7507563694267516,0.9698646496815286,4.925804922,6.83549992456,-6.5293718427475,0.10013789698400001,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_6_B_Cl,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,ClC1:ccoc:1,1.377633156362391,1.0766112918878803,0.7403234670644578,0.9473188348904764,4.766618319,6.931828227637,-6.6257001458245,-0.0590487055585,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_6_B_OH,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,OC1:ccoc:1,1.1764554353426069,0.9716125708397734,0.8463022796625381,1.0247262609944354,5.281729838,6.0637850445420005,-5.7576569627295004,0.45606281343800004,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
