Name,SMILES,SYBA,Functional Group,Linker
g_11_v2_thio,O=C1C(C2=C(C3=CC=C(C4=CC5=C(N4)C=C(C(OC)=C5)OC)S3)N1C)=CN(C2=O)C,4.291448499348606,thio,none
g_13_v1_double,COC1=CC2=C(C(/C=C/C(SC=C3S4)=C3SC4=S)=C1OC)NC=C2,30.87638220395668,double,none
g_13_v1_triple,COC1=CC2=C(C(/C#C/C(SC=C3S4)=C3SC4=S)=C1OC)NC=C2,33.397241468703776,triple,none
g_13_v1_imine,COC1=CC2=C(C(/C=N/C(SC=C3S4)=C3SC4=S)=C1OC)NC=C2,32.81623964201486,imine,none
g_13_v1_thio,COC1=CC2=C(C(C3=CC=C(C(SC=C4S5)=C4SC5=S)S3)=C1OC)NC=C2,18.71772715736199,thio,none
g_13_v2_double,COC1=CC2=C(C=C1OC)NC(/C=C/C(SC=C3S4)=C3SC4=S)=C2,43.685543448011074,double,none
g_13_v2_triple,COC1=CC2=C(C=C1OC)NC(/C#C/C(SC=C3S4)=C3SC4=S)=C2,47.42060423406941,triple,none
g_13_v2_imine,COC1=CC2=C(C=C1OC)NC(/C=N/C(SC=C3S4)=C3SC4=S)=C2,46.42164431453948,imine,none
g_13_v2_thio,COC1=CC2=C(C=C1OC)NC(C3=CC=C(C(SC=C4S5)=C4SC5=S)S3)=C2,47.15955310186208,thio,none
g_16_v1_double,COC1=CC2=C(C(/C=C/C3=CC=CC4=C3N=CC=N4)=C1OC)NC=C2,58.997946748292215,double,none
g_16_v1_triple,COC1=CC2=C(C(/C#C/C3=CC=CC4=C3N=CC=N4)=C1OC)NC=C2,50.670825624939226,triple,none
g_16_v1_imine,COC1=CC2=C(C(/C=N/C3=CC=CC4=C3N=CC=N4)=C1OC)NC=C2,52.45219286756941,imine,none
g_16_v1_thio,COC1=CC2=C(C(C3=CC=C(C4=CC=CC5=C4N=CC=N5)S3)=C1OC)NC=C2,28.45571533474945,thio,none
g_16_v2_double,COC1=CC2=C(C=C1OC)NC(/C=C/C3=CC=CC4=C3N=CC=N4)=C2,74.48256343223848,double,none
g_16_v2_triple,COC1=CC2=C(C=C1OC)NC(/C#C/C3=CC=CC4=C3N=CC=N4)=C2,67.3696438301967,triple,none
g_16_v2_imine,COC1=CC2=C(C=C1OC)NC(/C=N/C3=CC=CC4=C3N=CC=N4)=C2,68.03990435716021,imine,none
g_16_v2_thio,COC1=CC2=C(C=C1OC)NC(C3=CC=C(C4=CC=CC5=C4N=CC=N5)S3)=C2,56.20439265642384,thio,none
