Name,SMILES,HOMO /eV,LUMO /eV,EG /eV,SA Score,Planarity,Linker Type,Fragment Functional Group,Eumelanin Type,Eumelanin Func Type,Eumelanin Bonded Type,Eumelanin Linker Type
0_157_single_A,COc1cc2cc[nH]c2c(C2:cc(C=O)cc3nonc:23)c1OC,-5.567117,-3.065588,2.501529,2.98845220198333,0.6010644566748281,Single,carbonyl,DHI,Unmethlyated,7 - DHI,single
0_158_single_A,COc1cc2cc[nH]c2c(C2:cc(S(=O)(=O)O)cc3nonc:23)c1OC,-5.609641,-3.052117,2.557524,2.9500197950484868,0.5970099337060906,Single,Sulfonic Acid,DHI,Unmethlyated,7 - DHI,single
0_159_single_A,COc1cc2cc[nH]c2c(C2:cc(C(F)(F)F)cc3nonc:23)c1OC,-5.541815,-2.825755,2.716059,2.9150250637523865,0.6021645744308716,Single,Trifloro,DHI,Unmethlyated,7 - DHI,single
0_160_single_A,COc1cc2cc[nH]c2c(C2:cc(F)cc3nonc:23)c1OC,-5.507191,-2.578282,2.928909,2.8536390736731345,0.6048106550646176,Single,F,DHI,Unmethlyated,7 - DHI,single
0_161_single_A,COc1cc2cc[nH]c2c(C2:cc(O)cc3nonc:23)c1OC,-5.460956,-2.36474,3.096216,2.939136975771037,0.6115290124922586,Single,OH,DHI,Unmethlyated,7 - DHI,single
0_162_single_A,COc1cc2cc[nH]c2c(C2:cc(S)cc3nonc:23)c1OC,-5.485266,-2.52599,2.959276,3.166778234512296,0.5993965031456323,Single,SH,DHI,Unmethlyated,7 - DHI,single
0_163_single_A,COc1cc2cc[nH]c2c(C2:cc(Br)cc3nonc:23)c1OC,-5.525643,-2.715655,2.809988,2.895274038708098,0.5955017817085213,Single,Br,DHI,Unmethlyated,7 - DHI,single
0_164_single_A,COc1cc2cc[nH]c2c(C2:cc(C)cc3nonc:23)c1OC,-5.363429,-2.341223,3.022205,2.8196383743724347,0.5856238294248813,Single,methyl,DHI,Unmethlyated,7 - DHI,single
0_165_single_A,COc1cc2cc[nH]c2c(C2:cc(C#N)cc3nonc:23)c1OC,-5.64316,-3.110994,2.532166,2.9606715999766404,0.5987667853726418,Single,cyanide,DHI,Unmethlyated,7 - DHI,single
0_166_single_A,COc1cc2cc[nH]c2c(C2:c(OC(C)=O)ncc3nonc:23)c1OC,-5.329846,-2.887718,2.442128,3.1483190944532664,0.18967082825744883,Single,Acetate,DHI,Unmethlyated,7 - DHI,single
0_167_single_A,COc1cc2cc[nH]c2c(C2:c(NC(C)=O)ncc3nonc:23)c1OC,-5.64546,-2.789066,2.856394,3.069360466594638,0.3964645508545478,Single,Amide,DHI,Unmethlyated,7 - DHI,single
0_168_single_A,CNc1ncc2nonc2:C:1c1c(OC)c(OC)cc2cc[nH]c12,-5.328758,-2.454208,2.87455,3.131318422719115,0.20532465739672573,Single,Amine,DHI,Unmethlyated,7 - DHI,single
0_169_single_A,COc1cc2cc[nH]c2c(C2:c(OC)ncc3nonc:23)c1OC,-5.169941,-2.692401,2.477539,3.051281633421457,0.34143710113201614,Single,Methoxy,DHI,Unmethlyated,7 - DHI,single
0_170_single_A,COc1cc2cc[nH]c2c(C2:c(C=O)ncc3nonc:23)c1OC,-5.275759,-3.25156,2.024199,3.242334476230821,0.2182433519487514,Single,carbonyl,DHI,Unmethlyated,7 - DHI,single
0_171_single_A,COc1cc2cc[nH]c2c(C2:c(S(=O)(=O)O)ncc3nonc:23)c1OC,-5.614323,-3.584931,2.029392,3.2523799636470114,0.22656220096365834,Single,Sulfonic Acid,DHI,Unmethlyated,7 - DHI,single
0_172_single_A,COc1cc2cc[nH]c2c(C2:c(C(F)(F)F)ncc3nonc:23)c1OC,-5.443844,-3.110818,2.333027,3.151384600106444,0.2076304599258896,Single,Trifloro,DHI,Unmethlyated,7 - DHI,single
0_173_single_A,COc1cc2cc[nH]c2c(C2:c(F)ncc3nonc:23)c1OC,-5.359211,-3.058674,2.300537,3.1219104023444624,0.4361976708877095,Single,F,DHI,Unmethlyated,7 - DHI,single
0_174_single_A,COc1cc2cc[nH]c2c(C2:c(O)ncc3nonc:23)c1OC,-5.193161,-2.754107,2.439055,3.1856761366101978,0.3675027030771782,Single,OH,DHI,Unmethlyated,7 - DHI,single
0_175_single_A,COc1cc2cc[nH]c2c(C2:c(S)ncc3nonc:23)c1OC,-5.374189,-2.832166,2.542023,3.307629283463344,0.15697566774624244,Single,SH,DHI,Unmethlyated,7 - DHI,single
